top - 23:39:04 up 2 days,  7:00,  2 users,  load average: 0.00, 0.01, 0.00
Tasks: 157 total,   1 running, 156 sleeping,   0 stopped,   0 zombie
%Cpu(s):  0.0 us,  3.1 sy,  0.0 ni, 96.9 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :    916.9 total,    304.1 free,    286.4 used,    326.4 buff/cache
MiB Swap:      0.0 total,      0.0 free,      0.0 used.    539.3 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 182513 root      20   0  225040   2940   2532 R   6.7   0.3   0:00.01 top
      1 root      20   0  176864  14544   7028 S   0.0   1.5   0:32.04 systemd
      2 root      20   0       0      0      0 S   0.0   0.0   0:00.07 kthreadd
      3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp
      4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par_gp
      5 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 slub_flushwq
      6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 netns
      8 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/0:0H-events_highpri
     10 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_percpu_wq
     11 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tasks_rude_kthread
     12 root      20   0       0      0      0 I   0.0   0.0   0:00.00 rcu_tasks_trace_kthread
     13 root      20   0       0      0      0 S   0.0   0.0   0:02.96 ksoftirqd/0
     14 root      20   0       0      0      0 I   0.0   0.0   0:09.09 rcu_sched
     15 root      rt   0       0      0      0 S   0.0   0.0   0:00.78 migration/0
     17 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
     18 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/1
     19 root      rt   0       0      0      0 S   0.0   0.0   0:00.77 migration/1
     20 root      20   0       0      0      0 S   0.0   0.0   0:02.85 ksoftirqd/1
     22 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/1:0H-events_highpri
     24 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kdevtmpfs
     25 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 inet_frag_wq
     26 root      20   0       0      0      0 S   0.0   0.0   0:00.10 kauditd
     27 root      20   0       0      0      0 S   0.0   0.0   0:00.15 khungtaskd
     28 root      20   0       0      0      0 S   0.0   0.0   0:00.00 oom_reaper
     30 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 writeback
     31 root      20   0       0      0      0 S   0.0   0.0   0:08.44 kcompactd0
     32 root      39  19       0      0      0 S   0.0   0.0   0:00.00 khugepaged
     33 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kintegrityd
     34 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kblockd
     35 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 blkcg_punt_bio
     36 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 tpm_dev_wq
     37 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 md
     38 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 edac-poller
     40 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 watchdogd
     41 root       0 -20       0      0      0 I   0.0   0.0   0:00.55 kworker/0:1H-kblockd
     57 root      20   0       0      0      0 S   0.0   0.0   0:00.54 kswapd0
     60 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 xfsalloc
     61 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 xfs_mru_cache
     63 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kthrotld
     83 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/17-ACPI:Ged
     84 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/18-ACPI:Ged
     85 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/19-ACPI:Ged
     86 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/20-ACPI:Ged
     87 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/21-ACPI:Ged
     88 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 irq/22-ACPI:Ged
